Member_number,Date,itemDescription,Cost,Date_Numeric_value
4671,15-Jul-15,instant coffee,8,42200
2270,09-Jun-15,pastry,5,42164
2494,05-May-15,canned beer,3.5,42129
1406,28-Dec-15,sausage,1.49,42366
3910,18-Dec-15,rolls/buns,1,42356
3358,21-Feb-15,dog food,25,42056
1943,14-Jan-15,chicken,6,42018
1995,12-Jun-15,soda,6,42167
4666,24-Feb-15,instant coffee,8,42059
1994,11-Mar-15,whole milk,2,42074
4892,09-Jan-15,citrus fruit,3,42013
3531,29-Aug-15,liver loaf,4,42245
1148,15-Apr-15,sausage,1.49,42109
1787,31-Oct-15,chocolate,5,42308
4215,31-May-15,canned beer,3.5,42155
2158,01-Aug-15,ham,10,42217
2510,29-Sep-15,soda,6,42276
3180,19-Oct-15,pastry,5,42296
3207,08-Aug-15,tropical fruit,4,42224
1226,12-Nov-15,citrus fruit,3,42320
1682,25-Jun-15,pip fruit,3,42180
1509,04-Nov-15,yogurt,1.65,42312
2364,21-Jun-15,root vegetables,7,42176
4679,10-Nov-15,waffles,6,42318
4324,05-Jan-15,sausage,1.49,42009
3497,14-Jun-15,soda,6,42169
1008,21-Jul-15,soda,6,42206
4572,29-Oct-15,whole milk,2,42306
4030,04-Jul-15,sausage,1.49,42189
2422,12-Aug-15,sausage,1.49,42228
2694,24-Nov-15,whole milk,2,42332
3481,03-Aug-15,pork,8,42219
3821,03-Jan-15,whole milk,2,42007
3752,20-Aug-15,whole milk,2,42236
3262,08-Dec-15,rolls/buns,1,42346
1370,28-Jun-15,whole milk,2,42183
1090,31-Aug-15,whisky,27,42247
3862,18-Nov-15,newspapers,2,42326
4495,08-Apr-15,rubbing alcohol,20,42102
2492,01-Nov-15,ham,10,42309
4688,01-Aug-15,sausage,1.49,42217
3633,14-Jul-15,bottled beer,30,42199
3709,08-Aug-15,pork,8,42224
1220,09-Feb-15,specialty chocolate,20,42044
4236,25-Nov-15,frankfurter,2,42333
3308,19-Aug-15,nut snack,16,42235
1183,12-Jun-15,bottled beer,30,42167
1999,24-Aug-15,misc. beverages,20,42240
4828,11-Oct-15,pork,8,42288
3608,12-Oct-15,whole milk,2,42289
3983,09-Sep-15,chocolate,5,42256
3460,24-Jul-15,root vegetables,7,42209
1703,21-Feb-15,waffles,6,42056
3002,13-Aug-15,citrus fruit,3,42229
4836,17-Aug-15,pork,8,42233
1561,05-Jun-15,dish cleaner,8,42160
4731,04-Apr-15,rolls/buns,1,42098
3812,13-Nov-15,rolls/buns,1,42321
2097,01-Oct-15,chicken,6,42278
4986,28-Jan-15,pork,8,42032
4742,15-Nov-15,beverages,35,42323
2502,15-Apr-15,soda,6,42109
1135,10-Jul-15,sausage,1.49,42195
2403,14-Feb-15,frankfurter,2,42049
4234,17-Jul-15,whole milk,2,42202
4068,11-Dec-15,bottled beer,30,42349
2311,30-Jun-15,chocolate,5,42185
1353,21-Jan-15,meat,20,42025
3251,05-Jul-15,beef,7,42190
1748,08-Mar-15,pip fruit,3,42071
1638,12-Mar-15,whole milk,2,42075
2170,10-Feb-15,bottled beer,30,42045
3903,06-Feb-15,other vegetables,5,42041
1245,27-Jun-15,soda,6,42182
3237,28-Jun-15,UHT-milk,8,42183
2843,12-Oct-15,pip fruit,3,42289
3095,13-Oct-15,citrus fruit,3,42290
4076,22-May-15,meat,20,42146
1298,23-Jun-15,chicken,6,42178
4591,13-Jun-15,zwieback,7,42168
3592,28-Oct-15,other vegetables,5,42305
1305,23-May-15,sausage,1.49,42147
4326,06-Nov-15,packaged fruit/vegetables,5,42314
3189,03-Feb-15,yogurt,1.65,42038
1991,10-Feb-15,pork,8,42045
2091,02-Aug-15,ice cream,15,42218
3100,06-Mar-15,beef,7,42069
4984,26-Apr-15,bottled beer,30,42120
4444,06-Oct-15,soda,6,42283
4678,17-Dec-15,meat,20,42355
1670,22-Nov-15,fish,13,42330
3214,14-Jan-15,tropical fruit,4,42018
2772,18-Mar-15,tropical fruit,4,42081
4343,21-Dec-15,frozen vegetables,10,42359
4351,21-Aug-15,other vegetables,5,42237
1598,02-Mar-15,root vegetables,7,42065
4469,18-Oct-15,fish,13,42295
1788,05-Dec-15,UHT-milk,8,42343
3768,01-Aug-15,berries,6.5,42217
4661,01-Mar-15,condensed milk,1.5,42064
3801,17-Aug-15,salt,2,42233
4109,04-Oct-15,canned beer,3.5,42281
2485,24-Mar-15,pip fruit,3,42087
2365,11-Jun-15,sausage,1.49,42166
2602,08-Feb-15,sausage,1.49,42043
2391,05-Dec-15,frozen meals,5,42343
3483,08-Sep-15,berries,6.5,42255
2512,31-Jan-15,liquor,18,42035
2652,01-Aug-15,yogurt,1.65,42217
1777,03-Dec-15,yogurt,1.65,42341
4007,23-Dec-15,citrus fruit,3,42361
2653,17-Apr-15,brown bread,0.8,42111
2703,21-Sep-15,ham,10,42268
4322,14-Nov-15,domestic eggs,4,42322
2270,04-Feb-15,tropical fruit,4,42039
2306,09-Oct-15,rolls/buns,1,42286
1539,27-Sep-15,pip fruit,3,42274
2517,12-Dec-15,tropical fruit,4,42350
3254,19-Oct-15,photo/film,30,42296
1711,21-Mar-15,bottled beer,30,42084
2560,07-Jun-15,whole milk,2,42162
4891,06-Oct-15,chicken,6,42283
1622,12-Feb-15,canned beer,3.5,42047
1028,02-Jun-15,onions,3,42157
1416,22-Aug-15,other vegetables,5,42238
1037,16-Dec-15,frankfurter,2,42354
4293,23-Apr-15,other vegetables,5,42117
3054,09-Apr-15,white wine,35,42103
4467,23-Apr-15,other vegetables,5,42117
4811,02-Nov-15,canned beer,3.5,42310
4749,15-Feb-15,tropical fruit,4,42050
1825,21-Nov-15,fruit/vegetable juice,10,42329
4685,19-Jul-15,berries,6.5,42204
3621,14-Jul-15,other vegetables,5,42199
3219,04-Aug-15,other vegetables,5,42220
1444,29-Dec-15,meat,20,42367
1698,22-Jul-15,other vegetables,5,42207
3328,15-Apr-15,ham,10,42109
3704,30-Apr-15,chocolate,5,42124
4124,09-Sep-15,frankfurter,2,42256
4357,10-Oct-15,processed cheese,12,42287
2073,30-Apr-15,rolls/buns,1,42124
4192,12-Sep-15,chewing gum,2,42259
3890,26-Oct-15,root vegetables,7,42303
3147,24-Dec-15,tropical fruit,4,42362
4550,30-Jan-15,detergent,10,42034
3183,07-Aug-15,tropical fruit,4,42223
1878,17-Oct-15,sausage,1.49,42294
2523,12-Feb-15,soda,6,42047
2227,20-Jun-15,semi-finished bread,2,42175
2267,26-Feb-15,frankfurter,2,42061
4806,27-Oct-15,sausage,1.49,42304
2422,11-Nov-15,citrus fruit,3,42319
1164,30-Mar-15,whole milk,2,42093
3096,23-Jun-15,misc. beverages,20,42178
1821,21-May-15,tropical fruit,4,42145
2298,06-Oct-15,beef,7,42283
4515,10-May-15,other vegetables,5,42134
3079,10-Mar-15,frankfurter,2,42073
3352,13-Jun-15,sausage,1.49,42168
1545,17-Oct-15,whole milk,2,42294
2999,03-Aug-15,sausage,1.49,42219
1230,19-Nov-15,frankfurter,2,42327
2578,25-Jan-15,bottled beer,30,42029
4611,27-Aug-15,cereals,9,42243
3575,24-Jan-15,chocolate marshmallow,21,42028
2517,29-Sep-15,other vegetables,5,42276
2471,19-Mar-15,meat,20,42082
2560,19-Jun-15,cocoa drinks,16,42174
4492,14-Jun-15,sausage,1.49,42169
1217,18-Feb-15,whole milk,2,42053
2950,10-Oct-15,coffee,15,42287
4337,26-Oct-15,tropical fruit,4,42303
2599,27-Jan-15,sausage,1.49,42031
2924,19-Nov-15,rolls/buns,1,42327
3734,05-Sep-15,ice cream,15,42252
3985,24-Jul-15,liver loaf,4,42209
1823,11-Nov-15,frankfurter,2,42319
1722,27-Aug-15,chewing gum,2,42243
3818,29-Mar-15,soda,6,42092
4924,11-Jun-15,butter,1.5,42166
3194,03-May-15,chicken,6,42127
2156,07-Aug-15,sausage,1.49,42223
3182,05-May-15,soda,6,42129
2902,16-Aug-15,cat food,8,42232
3450,24-Dec-15,pip fruit,3,42362
4262,11-Sep-15,soft cheese,8,42258
1276,28-Aug-15,whole milk,2,42244
2184,23-Jan-15,soda,6,42027
1670,30-Jun-15,chicken,6,42185
1198,31-Jan-15,other vegetables,5,42035
1858,25-Jan-15,pastry,5,42029
1404,16-Jan-15,ice cream,15,42020
2899,09-Nov-15,sausage,1.49,42317
2057,13-Nov-15,citrus fruit,3,42321
2799,27-Feb-15,chocolate,5,42062
4913,01-Aug-15,beverages,35,42217
2413,26-Jun-15,bottled water,2,42181
4819,20-Sep-15,sausage,1.49,42267
3014,15-Jul-15,whipped/sour cream,7,42200
1419,07-Apr-15,root vegetables,7,42101
2589,29-Apr-15,ice cream,15,42123
3648,02-Jun-15,meat,20,42157
1349,13-Dec-15,frankfurter,2,42351
2706,03-Oct-15,tropical fruit,4,42280
1144,16-Jan-15,chicken,6,42020
1275,07-May-15,root vegetables,7,42131
1851,11-Jul-15,other vegetables,5,42196
2305,28-Sep-15,coffee,15,42275
1905,18-Oct-15,soda,6,42295
3732,06-Dec-15,chicken,6,42344
2724,30-Apr-15,ice cream,15,42124
3245,19-Mar-15,hamburger meat,5,42082
2005,20-Apr-15,pork,8,42114
4643,10-Aug-15,ice cream,15,42226
2538,27-Jul-15,other vegetables,5,42212
1173,07-Feb-15,bottled beer,30,42042
1703,15-Feb-15,misc. beverages,20,42050
3347,24-Jan-15,beef,7,42028
1561,25-Jul-15,whole milk,2,42210
1632,27-Aug-15,chicken,6,42243
2995,18-Feb-15,dessert,10,42053
1318,26-Sep-15,pastry,5,42273
1133,26-Feb-15,sausage,1.49,42061
2357,03-Aug-15,onions,3,42219
4007,13-Mar-15,tropical fruit,4,42076
2383,02-Jan-15,flower soil/fertilizer,8,42006
3128,30-Aug-15,ice cream,15,42246
1372,25-Apr-15,soda,6,42119
1839,16-Aug-15,pastry,5,42232
3567,17-Feb-15,pip fruit,3,42052
3573,03-Apr-15,meat,20,42097
3765,12-Jun-15,whole milk,2,42167
2875,12-Mar-15,zwieback,7,42075
3737,21-Nov-15,liquor (appetizer),19,42329
3535,28-Feb-15,pip fruit,3,42063
4288,13-Nov-15,canned beer,3.5,42321
1334,07-Mar-15,Instant food products,16,42070
2046,28-Feb-15,pork,8,42063
1922,07-Oct-15,butter milk,1.65,42284
2184,19-Sep-15,oil,5,42266
2632,23-Sep-15,meat,20,42270
2108,01-Oct-15,tropical fruit,4,42278
2547,24-Nov-15,soda,6,42332
4720,12-Feb-15,soda,6,42047
4008,19-May-15,meat,20,42143
1438,28-Nov-15,frankfurter,2,42336
3027,14-Sep-15,whipped/sour cream,7,42261
1342,07-Jan-15,tropical fruit,4,42011
4952,26-Aug-15,sausage,1.49,42242
1218,20-Aug-15,tropical fruit,4,42236
4804,19-Nov-15,pork,8,42327
3319,17-Nov-15,bottled beer,30,42325
2459,22-Sep-15,whole milk,2,42269
1123,31-Jan-15,frozen vegetables,10,42035
1827,01-Jul-15,whole milk,2,42186
4769,20-Sep-15,sausage,1.49,42267
3769,27-Feb-15,pork,8,42062
4713,28-Jan-15,beef,7,42032
1741,20-Dec-15,sausage,1.49,42358
4238,12-Dec-15,tropical fruit,4,42350
4051,28-Jan-15,whole milk,2,42032
4960,19-Aug-15,bottled water,2,42235
4602,26-Aug-15,beef,7,42242
3549,12-Feb-15,brown bread,0.8,42047
2746,29-May-15,bottled beer,30,42153
2444,17-Jun-15,sausage,1.49,42172
3196,04-Nov-15,pip fruit,3,42312
4672,05-Nov-15,frankfurter,2,42313
3308,08-Mar-15,UHT-milk,8,42071
3328,16-Aug-15,whole milk,2,42232
4923,23-Sep-15,butter milk,1.65,42270
2981,11-May-15,whole milk,2,42135
3615,02-Sep-15,herbs,7,42249
1620,22-Mar-15,tropical fruit,4,42085
2583,15-Feb-15,chicken,6,42050
1362,06-Oct-15,curd,3,42283
2462,08-Jan-15,pork,8,42012
3198,23-Jun-15,hamburger meat,5,42178
3296,22-May-15,hamburger meat,5,42146
3447,03-Sep-15,root vegetables,7,42250
4001,30-Mar-15,butter,1.5,42093
2082,21-Jun-15,UHT-milk,8,42176
1679,08-Dec-15,whole milk,2,42346
3605,05-Apr-15,sausage,1.49,42099
3762,04-Jan-15,canned beer,3.5,42008
2375,03-Sep-15,whole milk,2,42250
1617,30-Mar-15,oil,5,42093
3399,09-Apr-15,sausage,1.49,42103
1570,15-Mar-15,frankfurter,2,42078
1583,24-Mar-15,sliced cheese,4,42087
3348,05-Dec-15,sausage,1.49,42343
1427,10-Jan-15,chicken,6,42014
3041,27-Aug-15,butter milk,1.65,42243
1661,08-Nov-15,pip fruit,3,42316
1076,12-Jun-15,sausage,1.49,42167
3545,29-Sep-15,butter,1.5,42276
3593,10-Sep-15,pork,8,42257
3891,16-Feb-15,cat food,8,42051
2115,18-Nov-15,hamburger meat,5,42326
2480,26-Mar-15,tropical fruit,4,42089
1532,20-Jun-15,whole milk,2,42175
2530,13-Jun-15,softener,10,42168
1803,12-May-15,rolls/buns,1,42136
2604,20-Sep-15,tropical fruit,4,42267
3595,21-Mar-15,dessert,10,42084
1442,30-Mar-15,newspapers,2,42093
1515,09-Nov-15,hamburger meat,5,42317
2899,24-Nov-15,chicken,6,42332
1845,07-Aug-15,other vegetables,5,42223
4334,28-Apr-15,fruit/vegetable juice,10,42122
3885,13-Apr-15,chocolate,5,42107
1474,02-Jun-15,margarine,5,42157
4783,21-Feb-15,cling film/bags,1,42056
1379,06-Feb-15,chicken,6,42041
4217,17-Jun-15,salt,2,42172
4281,14-Sep-15,newspapers,2,42261
2690,01-May-15,root vegetables,7,42125
2543,23-May-15,pip fruit,3,42147
2300,28-Apr-15,sausage,1.49,42122
4302,05-Apr-15,other vegetables,5,42099
1930,15-Nov-15,tropical fruit,4,42323
2834,02-Dec-15,newspapers,2,42340
2307,26-May-15,frankfurter,2,42150
3894,25-Jan-15,fruit/vegetable juice,10,42029
1467,20-Aug-15,ham,10,42236
3952,30-Oct-15,sausage,1.49,42307
3016,01-Dec-15,frankfurter,2,42339
2118,18-Jul-15,fish,13,42203
1940,14-Feb-15,chewing gum,2,42049
1430,04-Sep-15,citrus fruit,3,42251
2738,11-Apr-15,canned beer,3.5,42105
1565,30-Nov-15,canned beer,3.5,42338
4755,27-Dec-15,canned beer,3.5,42365
1410,08-Nov-15,UHT-milk,8,42316
3829,02-Aug-15,citrus fruit,3,42218
3086,04-Apr-15,whole milk,2,42098
4780,09-Jun-15,citrus fruit,3,42164
4085,29-Sep-15,canned beer,3.5,42276
3236,26-Jan-15,dessert,10,42030
2040,31-May-15,ham,10,42155
2370,04-Feb-15,meat,20,42039
4249,27-Feb-15,pip fruit,3,42062
2836,14-Aug-15,UHT-milk,8,42230
1220,01-Jan-15,canned beer,3.5,42005
3520,02-Jan-15,other vegetables,5,42006
2566,31-Jan-15,whole milk,2,42035
2655,05-Jan-15,sausage,1.49,42009
4147,18-Apr-15,canned beer,3.5,42112
3364,30-Aug-15,yogurt,1.65,42246
2370,14-Jan-15,root vegetables,7,42018
3809,08-Feb-15,bottled beer,30,42043
3744,06-Nov-15,canned beer,3.5,42314
1588,19-Jan-15,pork,8,42023
4304,01-Feb-15,canned beer,3.5,42036
2240,20-Sep-15,pip fruit,3,42267
3175,05-Jun-15,meat,20,42160
1231,27-Oct-15,pork,8,42304
3599,11-Jun-15,other vegetables,5,42166
3738,01-Apr-15,whole milk,2,42095
1593,08-Aug-15,sausage,1.49,42224
1319,10-Jan-15,misc. beverages,20,42014
2105,21-Jan-15,bottled water,2,42025
2056,03-Jul-15,beef,7,42188
3139,21-Apr-15,tropical fruit,4,42115
1098,19-Jan-15,rolls/buns,1,42023
2601,22-Oct-15,canned beer,3.5,42299
2694,19-Jun-15,sausage,1.49,42174
4524,26-Dec-15,sliced cheese,4,42364
1165,13-Apr-15,pork,8,42107
3705,07-Sep-15,soda,6,42254
1634,28-May-15,rolls/buns,1,42152
2030,04-Sep-15,soda,6,42251
4989,19-Jun-15,chocolate,5,42174
1715,04-Jul-15,ham,10,42189
4552,13-Aug-15,other vegetables,5,42229
1303,29-Mar-15,canned beer,3.5,42092
1430,09-Feb-15,canned beer,3.5,42044
4559,12-May-15,canned beer,3.5,42136
3848,18-Nov-15,tropical fruit,4,42326
2162,19-Jun-15,tropical fruit,4,42174
3719,17-Dec-15,canned beer,3.5,42355
3153,28-Apr-15,canned beer,3.5,42122
4462,02-Apr-15,bottled water,2,42096
2420,27-Sep-15,frankfurter,2,42274
3971,17-Jun-15,tropical fruit,4,42172
1611,26-Feb-15,liver loaf,4,42061
1225,26-Feb-15,shopping bags,0.8,42061
1554,21-May-15,tropical fruit,4,42145
4624,27-Nov-15,frankfurter,2,42335
3337,10-Jun-15,citrus fruit,3,42165
2265,25-Sep-15,whole milk,2,42272
4999,24-Jan-15,tropical fruit,4,42028
4102,03-Nov-15,beef,7,42311
3853,04-Jul-15,fruit/vegetable juice,10,42189
2265,13-Jun-15,frankfurter,2,42168
2452,11-Aug-15,beef,7,42227
2829,19-Dec-15,beef,7,42357
3926,20-Aug-15,canned beer,3.5,42236
3960,21-Oct-15,canned beer,3.5,42298
3980,16-Sep-15,rolls/buns,1,42263
1116,29-Jan-15,other vegetables,5,42033
2663,21-Oct-15,sausage,1.49,42298
2164,24-Nov-15,rolls/buns,1,42332
3950,12-May-15,yogurt,1.65,42136
1252,13-Apr-15,pork,8,42107
4804,27-Dec-15,tropical fruit,4,42365
4041,07-Sep-15,rolls/buns,1,42254
1894,04-Aug-15,hamburger meat,5,42220
4977,20-Aug-15,pip fruit,3,42236
2171,03-Sep-15,whole milk,2,42250
3417,15-Dec-15,pastry,5,42353
1175,10-Jun-15,whole milk,2,42165
4946,17-Feb-15,sausage,1.49,42052
4662,27-Jun-15,canned beer,3.5,42182
2869,10-Dec-15,beef,7,42348
4053,22-Mar-15,canned beer,3.5,42085
4574,30-Nov-15,frankfurter,2,42338
1110,15-Nov-15,pastry,5,42323
4700,04-Mar-15,sausage,1.49,42067
2565,29-Apr-15,tropical fruit,4,42123
2468,13-Mar-15,whole milk,2,42076
4836,13-Nov-15,sausage,1.49,42321
3504,22-Sep-15,root vegetables,7,42269
1333,03-Apr-15,frozen meals,5,42097
4039,27-Dec-15,other vegetables,5,42365
2077,15-May-15,chicken,6,42139
3519,13-Dec-15,bottled water,2,42351
2989,30-Jan-15,whole milk,2,42034
3737,05-May-15,whole milk,2,42129
3558,19-Sep-15,frankfurter,2,42266
3036,13-Jul-15,beef,7,42198
3180,03-Jul-15,sausage,1.49,42188
2978,09-May-15,sausage,1.49,42133
3985,23-Oct-15,candy,10,42300
4903,08-Dec-15,sausage,1.49,42346
2835,09-Oct-15,citrus fruit,3,42286
3783,22-Jun-15,sausage,1.49,42177
1486,14-Dec-15,other vegetables,5,42352
4589,08-Oct-15,sausage,1.49,42285
1132,19-Feb-15,other vegetables,5,42054
4827,27-Nov-15,canned beer,3.5,42335
3361,28-Jun-15,detergent,10,42183
4681,11-Sep-15,citrus fruit,3,42258
4197,26-Oct-15,beef,7,42303
3701,22-Jan-15,other vegetables,5,42026
4195,01-Oct-15,bottled beer,30,42278
3429,01-Apr-15,other vegetables,5,42095
2430,20-Jan-15,fruit/vegetable juice,10,42024
4330,08-Apr-15,misc. beverages,20,42102
1783,18-Mar-15,tropical fruit,4,42081
4025,04-Nov-15,pip fruit,3,42312
3399,19-Jul-15,sausage,1.49,42204
4766,03-Jan-15,root vegetables,7,42007
3562,13-Aug-15,zwieback,7,42229
2447,21-Jan-15,chicken,6,42025
1396,22-Jul-15,tropical fruit,4,42207
4633,26-Apr-15,tropical fruit,4,42120
4695,05-Jan-15,root vegetables,7,42009
1706,14-Aug-15,canned beer,3.5,42230
3872,23-Nov-15,beef,7,42331
1444,14-Oct-15,hamburger meat,5,42291
4753,08-Nov-15,other vegetables,5,42316
4580,29-Nov-15,liquor (appetizer),19,42337
2516,03-Apr-15,pip fruit,3,42097
2415,08-Aug-15,newspapers,2,42224
3925,25-Mar-15,turkey,13,42088
4996,24-Nov-15,bottled water,2,42332
4569,27-Jul-15,sausage,1.49,42212
3509,11-Apr-15,beef,7,42105
2252,08-Oct-15,whole milk,2,42285
1634,09-Feb-15,whole milk,2,42044
4112,27-Apr-15,pip fruit,3,42121
4042,08-Aug-15,meat,20,42224
4473,26-Jun-15,hamburger meat,5,42181
3878,30-Apr-15,photo/film,30,42124
2266,30-Sep-15,other vegetables,5,42277
3304,30-Nov-15,root vegetables,7,42338
3757,04-Feb-15,other vegetables,5,42039
3440,21-Dec-15,citrus fruit,3,42359
4328,04-Feb-15,beef,7,42039
3737,06-Dec-15,frankfurter,2,42344
3948,15-Jun-15,ham,10,42170
3682,05-Mar-15,soda,6,42068
2827,31-Oct-15,bottled beer,30,42308
2650,05-Oct-15,soda,6,42282
1360,16-Dec-15,turkey,13,42354
3679,23-Dec-15,pork,8,42361
4137,07-Mar-15,citrus fruit,3,42070
4235,19-Dec-15,grapes,7,42357
3193,31-Jan-15,other vegetables,5,42035
1332,02-Dec-15,root vegetables,7,42340
4821,28-Nov-15,tropical fruit,4,42336
1837,09-Jul-15,rolls/buns,1,42194
3665,23-Sep-15,citrus fruit,3,42270
2659,08-May-15,yogurt,1.65,42132
1322,09-Jan-15,chicken,6,42013
1599,29-May-15,tropical fruit,4,42153
2933,06-Apr-15,tropical fruit,4,42100
3963,21-Feb-15,other vegetables,5,42056
4178,03-Jun-15,margarine,5,42158
1052,27-Oct-15,pork,8,42304
4693,18-Aug-15,frankfurter,2,42234
1329,02-Feb-15,ham,10,42037
3128,13-Jun-15,cream cheese ,18,42168
1175,30-Jun-15,bottled water,2,42185
2211,31-Mar-15,canned beer,3.5,42094
2093,12-Jun-15,frozen potato products,2,42167
4284,14-Oct-15,pip fruit,3,42291
4449,30-Mar-15,citrus fruit,3,42093
4269,01-Apr-15,frankfurter,2,42095
1962,05-Apr-15,other vegetables,5,42099
2250,04-Oct-15,chicken,6,42281
1743,13-Nov-15,pip fruit,3,42321
1583,28-Jul-15,frankfurter,2,42213
4295,26-Oct-15,frozen meals,5,42303
1183,29-Jun-15,root vegetables,7,42184
2729,21-Mar-15,beef,7,42084
4035,03-Aug-15,sausage,1.49,42219
1608,06-Aug-15,whole milk,2,42222
1793,03-Jul-15,beef,7,42188
2210,09-Jul-15,pork,8,42194
1885,03-Jul-15,artif. sweetener,20,42188
1078,28-Oct-15,frankfurter,2,42305
1016,30-Sep-15,rolls/buns,1,42277
3077,29-May-15,canned beer,3.5,42153
3551,01-May-15,mayonnaise,4,42125
1158,17-Oct-15,rolls/buns,1,42294
2443,20-Jun-15,sausage,1.49,42175
1395,15-Jan-15,hard cheese,14,42019
2454,10-Nov-15,frankfurter,2,42318
3472,30-Apr-15,frankfurter,2,42124
3547,28-Nov-15,bottled water,2,42336
1038,21-Feb-15,sausage,1.49,42056
3915,11-Sep-15,whole milk,2,42258
2719,19-Apr-15,citrus fruit,3,42113
2234,23-Dec-15,pork,8,42361
1565,14-Dec-15,condensed milk,1.5,42352
1328,24-Mar-15,sausage,1.49,42087
3398,18-Jan-15,brown bread,0.8,42022
3687,12-Feb-15,whole milk,2,42047
1572,23-May-15,frankfurter,2,42147
3460,24-Nov-15,domestic eggs,4,42332
2352,05-May-15,sausage,1.49,42129
4816,31-Jul-15,other vegetables,5,42216
1152,19-Jul-15,pork,8,42204
1120,11-Jun-15,other vegetables,5,42166
4258,18-Jul-15,frankfurter,2,42203
4336,10-Sep-15,beef,7,42257
1395,25-Aug-15,pork,8,42241
3581,24-Sep-15,white bread,0.4,42271
1762,01-Jul-15,dessert,10,42186
2659,08-Dec-15,pip fruit,3,42346
4120,17-Jan-15,sausage,1.49,42021
2420,08-Mar-15,frankfurter,2,42071
2816,30-Sep-15,chicken,6,42277
1711,26-Feb-15,chicken,6,42061
2884,28-Dec-15,other vegetables,5,42366
4153,13-Jun-15,house keeping products,10,42168
2184,11-May-15,pork,8,42135
4381,30-Sep-15,bathroom cleaner,6,42277
2920,27-Mar-15,beverages,35,42090
3967,21-Jan-15,butter,1.5,42025
3135,13-Mar-15,sausage,1.49,42076
3459,05-Aug-15,canned beer,3.5,42221
2868,09-Jan-15,salt,2,42013
2989,06-Jan-15,beef,7,42010
1440,06-Sep-15,shopping bags,0.8,42253
2796,19-May-15,curd,3,42143
1074,16-Oct-15,fruit/vegetable juice,10,42293
2565,28-Sep-15,sausage,1.49,42275
1197,16-Jan-15,sausage,1.49,42020
1971,16-Aug-15,sausage,1.49,42232
3327,26-Mar-15,grapes,7,42089
1168,06-Mar-15,frankfurter,2,42069
2814,18-Sep-15,berries,6.5,42265
3298,26-May-15,citrus fruit,3,42150
3728,12-Nov-15,canned beer,3.5,42320
2116,29-Aug-15,canned beer,3.5,42245
1139,19-Jan-15,tropical fruit,4,42023
2463,26-Dec-15,whole milk,2,42364
2978,27-Jun-15,whole milk,2,42182
4525,07-Oct-15,other vegetables,5,42284
1213,14-Sep-15,citrus fruit,3,42261
4332,24-Nov-15,pork,8,42332
1729,15-Dec-15,beef,7,42353
1695,04-Feb-15,meat,20,42039
3503,29-Nov-15,canned beer,3.5,42337
3686,06-Jan-15,whole milk,2,42010
4264,11-May-15,curd cheese,7,42135
1545,28-Feb-15,citrus fruit,3,42063
3195,08-Jul-15,cooking chocolate,7,42193
1409,17-Feb-15,whole milk,2,42052
2800,21-Jun-15,sugar,15,42176
4453,27-Jul-15,chicken,6,42212
4820,18-Jan-15,citrus fruit,3,42022
3716,08-Oct-15,sausage,1.49,42285
3270,15-May-15,whole milk,2,42139
3410,16-Jan-15,whole milk,2,42020
3651,16-Oct-15,rolls/buns,1,42293
2049,06-Jan-15,pork,8,42010
3507,27-Aug-15,root vegetables,7,42243
3184,20-Nov-15,citrus fruit,3,42328
2648,29-Jan-15,citrus fruit,3,42033
1566,24-Feb-15,whole milk,2,42059
4105,05-Feb-15,pork,8,42040
3537,25-Jan-15,citrus fruit,3,42029
2300,05-Aug-15,frankfurter,2,42221
3794,04-Jan-15,citrus fruit,3,42008
3756,11-Jul-15,sausage,1.49,42196
4197,06-Feb-15,chicken,6,42041
4661,10-May-15,other vegetables,5,42134
3738,30-Dec-15,onions,3,42368
4567,02-Oct-15,hamburger meat,5,42279
2831,06-Jan-15,frankfurter,2,42010
4841,09-Jun-15,canned beer,3.5,42164
1776,15-Apr-15,bottled water,2,42109
1364,31-Jul-15,soda,6,42216
1926,16-Oct-15,turkey,13,42293
3496,22-Sep-15,rolls/buns,1,42269
1498,28-Oct-15,frozen vegetables,10,42305
4436,23-Dec-15,other vegetables,5,42361
4098,06-Feb-15,pork,8,42041
4707,11-Feb-15,soda,6,42046
4358,11-Jun-15,turkey,13,42166
3290,29-May-15,sausage,1.49,42153
1940,04-Jun-15,whole milk,2,42159
3363,18-Aug-15,newspapers,2,42234
1782,01-Aug-15,coffee,15,42217
2756,23-Nov-15,hamburger meat,5,42331
4379,01-Oct-15,turkey,13,42278
4686,08-Oct-15,sausage,1.49,42285
1230,06-Apr-15,whole milk,2,42100
2918,19-Jul-15,sausage,1.49,42204
4604,09-Dec-15,other vegetables,5,42347
4489,19-Nov-15,shopping bags,0.8,42327
4408,20-Apr-15,pork,8,42114
1846,28-May-15,pork,8,42152
1658,15-Jun-15,beef,7,42170
3046,09-Jan-15,sausage,1.49,42013
4528,13-Oct-15,whole milk,2,42290
1132,22-Sep-15,soda,6,42269
2386,05-Dec-15,canned beer,3.5,42343
4741,08-Sep-15,beef,7,42255
3971,19-Oct-15,frankfurter,2,42296
3029,14-Feb-15,other vegetables,5,42049
2758,06-Feb-15,other vegetables,5,42041
3969,05-Mar-15,root vegetables,7,42068
2829,29-Oct-15,pip fruit,3,42306
4573,23-Dec-15,sausage,1.49,42361
4726,08-Jul-15,other vegetables,5,42193
3929,06-Nov-15,pork,8,42314
